timestamp,window_id,slug,event,from_side,to_side,up_mid,down_mid,lead_gap,peak_prev_gap,gap_at_flip,post_flip_peak,effective_gap,is_significant,cross_count,significant_cross_count,time_pct,secs_to_end,current_atr,spot_price,ptb,ptb_delta_usd,spot_velocity,spot_smoothed_velocity,spot_acceleration
1781523971438,349,btc-updown-15m-1781523900,armed_init,,UP,0.5350,0.4650,0.0700,0.0000,0.0000,0.0000,0.0000,false,0,0,8.00,828,59.4000,66127.9275,,,0.812022,0.611101,-0.029112
1781523990881,349,btc-updown-15m-1781523900,mid_cross,UP,DOWN,0.4850,0.4950,0.0100,0.0800,0.0100,0.0100,0.0800,false,1,0,10.11,809,59.4000,66121.1204,,,-0.326547,-0.181679,0.070065
1781524002193,349,btc-updown-15m-1781523900,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.2300,0.0100,0.0100,0.2300,true,2,2,11.44,797,59.4000,66104.2768,,,-1.123692,-0.634429,0.055134
1781524195941,349,btc-updown-15m-1781523900,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.3600,0.0100,0.0100,0.3600,true,3,3,32.89,604,59.4000,66114.4661,,,-1.318151,-1.276101,0.276845
1781524201639,349,btc-updown-15m-1781523900,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0200,0.0100,0.0100,0.0200,false,4,3,33.56,598,59.4000,66113.7604,,,-0.845177,-0.896588,0.023821
1781524871864,350,btc-updown-15m-1781524800,armed_init,,UP,0.5150,0.4850,0.0300,0.0000,0.0000,0.0000,0.0000,false,0,0,8.00,828,59.4000,66201.6628,,,0.485962,0.012505,-0.000193
1781524878013,350,btc-updown-15m-1781524800,mid_cross,UP,DOWN,0.5000,0.5250,0.0250,0.0400,0.0250,0.0250,0.0400,false,1,0,8.78,821,59.4000,66202.5041,,,-0.468507,0.051519,-0.004365
1781525215632,350,btc-updown-15m-1781524800,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.8200,0.0300,0.0300,0.8200,true,2,2,46.22,484,59.4000,66190.1900,,,0.727335,1.032647,-0.166896
1781525216613,350,btc-updown-15m-1781524800,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0300,0.0100,0.0100,0.0300,false,3,2,46.33,483,59.4000,66190.9371,,,0.755717,1.009822,-0.022824
1781525222439,350,btc-updown-15m-1781524800,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0500,0.0100,0.0100,0.0500,false,4,2,47.00,477,59.4000,66190.8780,,,0.742312,0.566656,-0.137668
1781525224412,350,btc-updown-15m-1781524800,mid_cross,UP,DOWN,0.4600,0.4950,0.0350,0.0100,0.0350,0.0350,0.0350,false,5,2,47.22,475,59.4000,66190.0265,,,0.699939,0.417416,-0.031012
1781525431985,350,btc-updown-15m-1781524800,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.5200,0.0100,0.0100,0.5200,true,6,4,70.22,268,59.4000,66174.1399,,,0.308847,0.527815,-0.008751
1781525771032,351,btc-updown-15m-1781525700,armed_init,,DOWN,0.4350,0.5750,0.1400,0.0000,0.0000,0.0000,0.0000,false,0,0,8.00,828,59.4000,66239.4031,,,0.049472,-0.087666,0.012371
1781525939402,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.6700,0.0100,0.0100,0.6700,true,1,1,26.67,660,59.4000,66246.3538,,,0.223601,1.526669,0.017083
1781526002689,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.2800,0.0100,0.0100,0.2800,true,2,2,33.67,597,59.4000,66257.5344,,,-1.572038,-1.218311,-0.154261
1781526259893,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.6400,0.0300,0.0300,0.6400,true,3,3,62.22,340,59.4000,66243.0354,,,0.676581,0.453041,-0.039488
1781526260383,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.5000,0.5150,0.0150,0.0400,0.0150,0.0150,0.0400,false,4,3,62.33,339,59.4000,66243.0354,,,0.676581,0.453041,-0.039488
1781526285720,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.1100,0.0100,0.0100,0.1100,false,5,3,65.11,314,59.4000,66249.7169,,,-0.037997,0.241685,0.027743
1781526297741,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.5000,0.5150,0.0150,0.1200,0.0150,0.0150,0.1200,false,6,3,66.44,302,59.4000,66259.6772,,,0.801594,0.735829,-0.081063
1781526298185,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.0150,0.0300,0.0300,0.0300,false,7,3,66.56,301,59.4000,66258.6111,,,0.706951,0.591756,-0.144072
1781526307845,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0800,0.0100,0.0100,0.0800,false,8,3,67.56,292,59.4000,66254.5053,,,0.242433,0.126023,0.190938
1781526318822,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.0600,0.0200,0.0200,0.0600,false,9,3,68.78,281,59.4000,66246.6473,,,-0.598192,-0.356474,-0.024155
1781526323037,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0600,0.0100,0.0100,0.0600,false,10,3,69.33,276,59.4000,66250.2149,,,-0.134923,0.026573,0.023529
1781526349943,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5300,0.5000,0.0300,0.1500,0.0300,0.0300,0.1500,false,11,3,72.22,250,59.4000,66243.2570,,,-0.114155,-0.095108,0.024376
1781526408414,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.2200,0.0100,0.0100,0.2200,true,12,5,78.78,191,59.4000,66248.1555,,,-0.480538,-0.570497,-0.379627
1781526583897,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.8800,0.0300,0.0300,0.8800,true,13,6,98.22,16,59.4000,66244.7564,,,1.058122,0.900996,-0.069147
1781526586217,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.4900,0.5100,0.0200,0.0400,0.0200,0.0200,0.0400,false,14,6,98.56,13,59.4000,66246.2527,,,1.134430,0.886744,0.113169
1781526588513,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.0500,0.0300,0.0300,0.0500,false,15,6,98.78,11,59.4000,66246.8556,,,0.957434,0.795098,-0.067277
1781526596064,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.4850,0.5150,0.0300,0.3000,0.0300,0.0300,0.3000,true,16,8,99.67,3,59.4000,66249.0632,,,0.619191,0.577212,0.133591
1781526596937,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5250,0.5150,0.0100,0.1700,0.0100,0.0100,0.1700,true,17,9,99.67,3,59.4000,66249.3556,,,0.637647,0.554440,-0.022772
1781526597031,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.5050,0.5150,0.0100,0.0100,0.0100,0.0100,0.0100,false,18,9,99.78,2,59.4000,66249.3556,,,0.637647,0.554440,-0.022772
1781526597032,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0100,0.0100,0.0100,0.0100,false,19,9,99.78,2,59.4000,66249.3556,,,0.637647,0.554440,-0.022772
1781526598059,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.5100,0.5200,0.0100,0.0900,0.0100,0.0100,0.0900,false,20,9,99.89,1,59.4000,66246.6123,,,0.496558,0.290770,-0.263670
1781526598285,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.0100,0.0200,0.0200,0.0200,false,21,9,99.89,1,59.4000,66246.6123,,,0.496558,0.290770,-0.263670
1781526598305,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.5100,0.5250,0.0150,0.0200,0.0150,0.0150,0.0200,false,22,9,99.89,1,59.4000,66246.6123,,,0.496558,0.290770,-0.263670
1781526598310,351,btc-updown-15m-1781525700,mid_cross,DOWN,UP,0.5550,0.5250,0.0300,0.0150,0.0300,0.0300,0.0300,false,23,9,99.89,1,59.4000,66246.6123,,,0.496558,0.290770,-0.263670
1781526598784,351,btc-updown-15m-1781525700,mid_cross,UP,DOWN,0.4500,0.5500,0.1000,0.3350,0.1000,0.1000,0.3350,true,24,11,99.89,1,59.4000,66244.4267,,,0.368833,0.092765,-0.198005
1781526599660,351,btc-updown-15m-1781525700,armed_init,,DOWN,0.4350,0.7550,0.3200,0.0000,0.0000,0.0000,0.0000,false,0,0,100.00,0,59.4000,66244.4267,,,0.368833,0.092765,-0.198005
1781526671011,352,btc-updown-15m-1781526600,armed_init,,DOWN,0.4650,0.5350,0.0700,0.0000,0.0000,0.0000,0.0000,false,0,0,8.00,828,59.4000,66237.4348,,,-2.027661,-0.791108,0.069872
1781526874219,352,btc-updown-15m-1781526600,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.5400,0.0200,0.0200,0.5400,true,1,1,30.56,625,59.4000,66218.2452,,,-0.256371,0.024621,-0.003871
1781526879296,352,btc-updown-15m-1781526600,mid_cross,UP,DOWN,0.4800,0.5050,0.0250,0.0350,0.0250,0.0250,0.0350,false,2,1,31.11,620,59.4000,66239.1417,,,0.790746,1.301268,-0.123261
1781526967241,352,btc-updown-15m-1781526600,mid_cross,DOWN,UP,0.5150,0.5050,0.0100,0.3400,0.0100,0.0100,0.3400,true,3,3,40.89,532,59.4000,66236.2173,,,0.723191,0.785392,-0.068254
1781526988653,352,btc-updown-15m-1781526600,mid_cross,UP,DOWN,0.4850,0.5150,0.0300,0.1200,0.0300,0.0300,0.1200,false,4,3,43.22,511,59.4000,66242.7797,,,0.299290,0.112772,-0.201675
1781526997265,352,btc-updown-15m-1781526600,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0800,0.0100,0.0100,0.0800,false,5,3,44.22,502,59.4000,66239.0212,,,-0.636493,-0.091815,0.301413
1781527571373,353,btc-updown-15m-1781527500,armed_init,,DOWN,0.3950,0.6050,0.2100,0.0000,0.0000,0.0000,0.0000,false,0,0,8.00,828,59.4000,66406.5754,,,0.792130,0.251306,0.008327
1781527579588,353,btc-updown-15m-1781527500,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.2200,0.0100,0.0100,0.2200,true,1,1,8.89,820,59.4000,66416.5223,,,1.092967,0.716200,0.184600
1781527579588,353,btc-updown-15m-1781527500,mid_cross,UP,DOWN,0.5050,0.5350,0.0300,0.0100,0.0300,0.0300,0.0300,false,2,1,8.89,820,59.4000,66416.5223,,,1.092967,0.716200,0.184600
1781527579599,353,btc-updown-15m-1781527500,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.0300,0.0200,0.0200,0.0300,false,3,1,8.89,820,59.4000,66416.5223,,,1.092967,0.716200,0.184600
1781527579617,353,btc-updown-15m-1781527500,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0450,0.0100,0.0100,0.0450,false,4,1,8.89,820,59.4000,66416.5223,,,1.092967,0.716200,0.184600
1781527579634,353,btc-updown-15m-1781527500,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.0100,0.0200,0.0200,0.0200,false,5,1,8.89,820,59.4000,66416.5223,,,1.092967,0.716200,0.184600
1781527579649,353,btc-updown-15m-1781527500,mid_cross,UP,DOWN,0.4950,0.5150,0.0200,0.0200,0.0200,0.0200,0.0200,false,6,1,8.89,820,59.4000,66416.5223,,,1.092967,0.716200,0.184600
1781527579766,353,btc-updown-15m-1781527500,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.0600,0.0200,0.0200,0.0600,false,7,1,8.89,820,59.4000,66416.5223,,,1.092967,0.716200,0.184600
1781527581557,353,btc-updown-15m-1781527500,mid_cross,UP,DOWN,0.4900,0.5150,0.0250,0.0800,0.0250,0.0250,0.0800,false,8,1,9.11,818,59.4000,66453.2364,,,2.893872,3.397924,0.940211
1781527588568,353,btc-updown-15m-1781527500,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.0600,0.0300,0.0300,0.0600,false,9,1,9.89,811,59.4000,66441.8178,,,1.464755,1.196544,-0.191837
1781527593683,353,btc-updown-15m-1781527500,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.1000,0.0100,0.0100,0.1000,false,10,1,10.44,806,59.4000,66458.3990,,,2.216801,1.956634,-0.156513
1781527631574,353,btc-updown-15m-1781527500,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.1800,0.0100,0.0100,0.1800,true,11,3,14.67,768,59.4000,66434.7858,,,0.382662,0.730476,-0.064103
1781527659991,353,btc-updown-15m-1781527500,mid_cross,UP,DOWN,0.4900,0.5100,0.0200,0.0500,0.0200,0.0200,0.0500,false,12,3,17.78,740,59.4000,66447.4664,,,0.110374,0.053641,-0.236299
1781527688410,353,btc-updown-15m-1781527500,mid_cross,DOWN,UP,0.5750,0.5450,0.0300,0.1300,0.0300,0.0300,0.1300,false,13,3,21.00,711,59.4000,66432.5176,,,-0.205915,-0.045184,0.123380
1781528471019,354,btc-updown-15m-1781528400,armed_init,,DOWN,0.4250,0.5850,0.1600,0.0000,0.0000,0.0000,0.0000,false,0,0,8.00,828,59.4000,66508.9899,,,-2.182303,-1.252025,-0.287988
1781528777643,354,btc-updown-15m-1781528400,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.5800,0.0200,0.0200,0.5800,true,1,1,42.00,522,59.4000,66531.3756,,,0.834902,0.808919,0.076829
1781528967051,354,btc-updown-15m-1781528400,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.8400,0.0100,0.0100,0.8400,true,2,2,63.11,332,59.4000,66545.4579,,,-5.092006,-3.563509,0.023546
1781528972056,354,btc-updown-15m-1781528400,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.1050,0.0200,0.0200,0.1050,false,3,2,63.67,327,59.4000,66521.7520,,,-6.027731,-3.955740,0.327647
1781528972134,354,btc-updown-15m-1781528400,mid_cross,UP,DOWN,0.4900,0.5000,0.0100,0.0200,0.0100,0.0100,0.0200,false,4,2,63.67,327,59.4000,66521.7520,,,-6.027731,-3.955740,0.327647
1781528972186,354,btc-updown-15m-1781528400,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.0350,0.0200,0.0200,0.0350,false,5,2,63.67,327,59.4000,66521.7520,,,-6.027731,-3.955740,0.327647
1781528975392,354,btc-updown-15m-1781528400,mid_cross,UP,DOWN,0.4900,0.5050,0.0150,0.0400,0.0150,0.0150,0.0400,false,6,2,64.00,324,59.4000,66526.6622,,,-3.075278,-2.750720,0.220851
1781528980755,354,btc-updown-15m-1781528400,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0600,0.0100,0.0100,0.0600,false,7,2,64.56,319,59.4000,66523.7552,,,-1.627498,-2.020157,0.329132
1781529371600,355,btc-updown-15m-1781529300,armed_init,,UP,0.6450,0.3550,0.2900,0.0000,0.0000,0.0000,0.0000,false,0,0,8.00,828,59.4000,66651.7376,,,3.914637,2.440932,0.627247
1781530272089,356,btc-updown-15m-1781530200,armed_init,,DOWN,0.3550,0.6750,0.3200,0.0000,0.0000,0.0000,0.0000,false,0,0,8.11,827,59.4000,66694.6052,,,0.636127,1.568104,1.595534
1781530342045,356,btc-updown-15m-1781530200,mid_cross,DOWN,UP,0.5150,0.5000,0.0150,0.3200,0.0150,0.0150,0.3200,true,1,1,15.89,757,59.4000,66797.3311,,,2.628930,1.582768,-0.137549
1781530346392,356,btc-updown-15m-1781530200,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0200,0.0100,0.0100,0.0200,false,2,1,16.33,753,59.4000,66812.1913,,,1.917932,2.166443,-0.183737
1781530348097,356,btc-updown-15m-1781530200,mid_cross,DOWN,UP,0.5150,0.4850,0.0300,0.0200,0.0300,0.0300,0.0300,false,3,1,16.56,751,59.4000,66812.1255,,,2.033593,1.828476,-0.166259
1781530350970,356,btc-updown-15m-1781530200,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0300,0.0100,0.0100,0.0300,false,4,1,16.78,749,59.4000,66818.2108,,,1.349599,2.034069,0.348554
1781530351201,356,btc-updown-15m-1781530200,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0200,0.0100,0.0100,0.0200,false,5,1,16.89,748,59.4000,66816.9910,,,0.476060,1.773904,-0.260166
1781530360049,356,btc-updown-15m-1781530200,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0600,0.0100,0.0100,0.0600,false,6,1,17.89,739,59.4000,66824.4687,,,1.844231,1.487546,0.208685
1781530367186,356,btc-updown-15m-1781530200,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0200,0.0100,0.0100,0.0200,false,7,1,18.67,732,59.4000,66808.7593,,,-0.171600,-0.185860,-0.103102
1781530380601,356,btc-updown-15m-1781530200,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0600,0.0100,0.0100,0.0600,false,8,1,20.11,719,59.4000,66829.7657,,,0.054525,1.011491,0.262391
1781530390138,356,btc-updown-15m-1781530200,mid_cross,DOWN,UP,0.5150,0.5000,0.0150,0.0900,0.0150,0.0150,0.0900,false,9,1,21.22,709,59.4000,66808.4184,,,-0.957158,-0.163547,0.116173
1781530410867,356,btc-updown-15m-1781530200,mid_cross,UP,DOWN,0.4850,0.5000,0.0150,0.0600,0.0150,0.0150,0.0600,false,10,1,23.44,689,59.4000,66832.0166,,,1.155856,0.483184,-0.061460
1781530504215,356,btc-updown-15m-1781530200,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.3500,0.0100,0.0100,0.3500,true,11,3,33.89,595,59.4000,66792.6093,,,2.159359,1.831423,0.211916
1781530531512,356,btc-updown-15m-1781530200,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.1500,0.0100,0.0100,0.1500,false,12,3,36.89,568,59.4000,66823.1439,,,0.011231,-0.319322,-0.702910
1781531172360,357,btc-updown-15m-1781531100,armed_init,,DOWN,0.4750,0.5250,0.0500,0.0000,0.0000,0.0000,0.0000,false,0,0,8.11,827,59.4000,66516.7391,,,1.257173,1.062606,-0.403295
1781531181944,357,btc-updown-15m-1781531100,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.0600,0.0200,0.0200,0.0600,false,1,0,9.11,818,59.4000,66527.6879,,,1.160150,1.298238,0.023488
1781531198040,357,btc-updown-15m-1781531100,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0300,0.0100,0.0100,0.0300,false,2,0,11.00,801,59.4000,66535.9883,,,0.921783,0.605063,-0.062446
1781531338019,357,btc-updown-15m-1781531100,mid_cross,DOWN,UP,0.5100,0.4900,0.0200,0.3000,0.0200,0.0200,0.3000,true,3,2,26.56,661,59.4000,66526.3850,,,1.856170,1.752118,-0.088387
1781531338868,357,btc-updown-15m-1781531100,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0400,0.0100,0.0100,0.0400,false,4,2,26.56,661,59.4000,66528.4140,,,1.906435,1.774257,0.022139
1781531341855,357,btc-updown-15m-1781531100,mid_cross,DOWN,UP,0.5050,0.4950,0.0100,0.0200,0.0100,0.0100,0.0200,false,5,2,26.89,658,59.4000,66530.6844,,,1.697501,1.669785,-0.132982
1781531362396,357,btc-updown-15m-1781531100,mid_cross,UP,DOWN,0.4950,0.5050,0.0100,0.0600,0.0100,0.0100,0.0600,false,6,2,29.22,637,59.4000,66535.3984,,,0.239673,0.387336,-0.152574
1781531364713,357,btc-updown-15m-1781531100,mid_cross,DOWN,UP,0.5150,0.5050,0.0100,0.0100,0.0100,0.0100,0.0100,false,7,2,29.44,635,59.4000,66533.1419,,,-0.108585,0.156404,-0.088008
1781531369466,357,btc-updown-15m-1781531100,mid_cross,UP,DOWN,0.4750,0.5000,0.0250,0.0600,0.0250,0.0250,0.0600,false,8,2,30.00,630,59.4000,66539.3340,,,0.311319,0.543884,0.048606
1781531375011,357,btc-updown-15m-1781531100,mid_cross,DOWN,UP,0.5150,0.5050,0.0100,0.0600,0.0100,0.0100,0.0600,false,9,2,30.67,624,59.4000,66523.3148,,,-0.483891,-0.711776,-0.000772
