window_id,slug,spent,returned,pnl,timestamp
43,btc-updown-15m-1780042500,42.98,33.47,-9.51,1780043399231
44,btc-updown-15m-1780043400,30.00,31.91,1.91,1780044299190
46,btc-updown-15m-1780045200,43.24,32.76,-10.47,1780046099191
47,btc-updown-15m-1780046100,30.00,32.29,2.29,1780046999192
50,btc-updown-15m-1780048800,30.00,23.88,-6.12,1780049699193
51,btc-updown-15m-1780049700,30.00,26.78,-3.22,1780050599195
1,btc-updown-5m-1780053900,41.54,32.83,-8.71,1780054199015
1,btc-updown-5m-1780055400,30.00,29.71,-0.29,1780055699981
3,btc-updown-5m-1780056000,30.00,29.40,-0.60,1780056299983
4,btc-updown-5m-1780056300,41.76,35.02,-6.74,1780056599983
5,btc-updown-5m-1780056600,30.00,34.15,4.15,1780056899985
1,btc-updown-5m-1780058100,41.76,83.91,42.15,1780058399984
1,btc-updown-5m-1780064100,30.00,39.41,9.41,1780064399213
2,btc-updown-5m-1780064400,30.00,33.37,3.37,1780064699213
3,btc-updown-5m-1780064700,41.54,82.72,41.19,1780064999213
5,btc-updown-5m-1780065300,41.54,34.76,-6.78,1780065599216
6,btc-updown-5m-1780065600,30.00,27.65,-2.35,1780065899216
7,btc-updown-5m-1780065900,30.00,24.16,-5.84,1780066199217
9,btc-updown-5m-1780066500,44.71,20.29,-24.41,1780066799220
10,btc-updown-5m-1780066800,44.71,29.12,-15.59,1780067099219
11,btc-updown-5m-1780067100,41.54,33.06,-8.48,1780067399220
4,btc-updown-15m-1780066800,30.00,26.94,-3.06,1780067699156
12,btc-updown-5m-1780067400,41.54,33.61,-7.93,1780067699221
13,btc-updown-5m-1780067700,30.00,22.85,-7.15,1780067999224
16,btc-updown-5m-1780068600,41.54,24.84,-16.70,1780068899229
6,btc-updown-15m-1780068600,30.00,28.23,-1.77,1780069499159
18,btc-updown-5m-1780069200,30.00,33.00,3.00,1780069499226
19,btc-updown-5m-1780069500,30.00,31.34,1.34,1780069799225
20,btc-updown-5m-1780069800,30.00,22.85,-7.15,1780070099225
7,btc-updown-15m-1780069500,30.00,30.69,0.69,1780070399159
21,btc-updown-5m-1780070100,41.54,46.33,4.79,1780070399226
22,btc-updown-5m-1780070400,30.00,28.67,-1.33,1780070699228
23,btc-updown-5m-1780070700,30.00,37.24,7.24,1780070999228
25,btc-updown-5m-1780071300,30.00,29.12,-0.88,1780071599232
26,btc-updown-5m-1780071600,41.54,62.54,21.00,1780071899232
27,btc-updown-5m-1780071900,41.54,46.04,4.50,1780072199234
28,btc-updown-5m-1780072200,30.00,22.85,-7.15,1780072499234
29,btc-updown-5m-1780072500,30.00,22.85,-7.15,1780072799238
10,btc-updown-15m-1780072200,30.00,23.05,-6.95,1780073099171
30,btc-updown-5m-1780072800,44.71,34.80,-9.90,1780073099234
31,btc-updown-5m-1780073100,30.00,27.12,-2.88,1780073399237
32,btc-updown-5m-1780073400,41.54,38.93,-2.61,1780073699237
11,btc-updown-15m-1780073100,30.00,29.04,-0.96,1780073999175
33,btc-updown-5m-1780073700,30.00,31.88,1.88,1780073999238
34,btc-updown-5m-1780074000,41.54,46.04,4.50,1780074299240
35,btc-updown-5m-1780074300,30.00,38.88,8.88,1780074599241
12,btc-updown-15m-1780074000,30.00,39.34,9.34,1780074899175
36,btc-updown-5m-1780074600,30.00,22.85,-7.15,1780074899239
37,btc-updown-5m-1780074900,44.71,93.63,48.92,1780075199241
38,btc-updown-5m-1780075200,30.00,31.35,1.35,1780075499242
13,btc-updown-15m-1780074900,30.00,38.20,8.20,1780075799178
39,btc-updown-5m-1780075500,30.00,26.18,-3.82,1780075799242
40,btc-updown-5m-1780075800,30.00,21.00,-9.00,1780076099244
41,btc-updown-5m-1780076100,41.54,46.89,5.35,1780076399244
14,btc-updown-15m-1780075800,41.54,82.00,40.47,1780076699177
42,btc-updown-5m-1780076400,30.00,28.53,-1.47,1780076699243
43,btc-updown-5m-1780076700,41.54,24.70,-16.84,1780076999244
44,btc-updown-5m-1780077000,30.00,39.91,9.91,1780077299244
45,btc-updown-5m-1780077300,30.00,39.35,9.35,1780077599245
46,btc-updown-5m-1780077600,30.00,36.47,6.47,1780077899246
47,btc-updown-5m-1780077900,30.00,31.85,1.85,1780078199248
48,btc-updown-5m-1780078200,30.00,30.29,0.29,1780078499247
49,btc-updown-5m-1780078500,41.54,47.61,6.07,1780078799247
50,btc-updown-5m-1780078800,41.54,49.06,7.52,1780079099247
17,btc-updown-15m-1780078500,41.54,24.70,-16.84,1780079399184
51,btc-updown-5m-1780079100,30.00,33.21,3.21,1780079399247
52,btc-updown-5m-1780079400,30.00,22.38,-7.62,1780079699246
53,btc-updown-5m-1780079700,41.54,50.37,8.84,1780079999249
18,btc-updown-15m-1780079400,30.00,31.56,1.56,1780080299184
54,btc-updown-5m-1780080000,30.00,26.41,-3.59,1780080299247
55,btc-updown-5m-1780080300,41.54,24.98,-16.55,1780080599248
19,btc-updown-15m-1780080300,41.54,25.35,-16.19,1780081199181
58,btc-updown-5m-1780081200,41.54,53.03,11.49,1780081499246
59,btc-updown-5m-1780081500,44.71,37.84,-6.86,1780081799247
60,btc-updown-5m-1780081800,41.54,46.96,5.42,1780082099247
61,btc-updown-5m-1780082100,41.54,24.70,-16.84,1780082399248
62,btc-updown-5m-1780082400,30.00,24.16,-5.84,1780082699248
64,btc-updown-5m-1780083000,30.00,22.85,-7.15,1780083299248
65,btc-updown-5m-1780083300,44.71,20.29,-24.41,1780083599248
66,btc-updown-5m-1780083600,30.00,26.82,-3.18,1780083899248
67,btc-updown-5m-1780083900,41.54,40.35,-1.19,1780084199249
68,btc-updown-5m-1780084200,30.00,29.12,-0.88,1780084499248
23,btc-updown-15m-1780083900,30.00,22.85,-7.15,1780084799185
69,btc-updown-5m-1780084500,30.00,26.41,-3.59,1780084799247
70,btc-updown-5m-1780084800,30.00,30.90,0.90,1780085099247
71,btc-updown-5m-1780085100,30.00,22.62,-7.38,1780085399246
24,btc-updown-15m-1780084800,44.71,29.59,-15.12,1780085699181
72,btc-updown-5m-1780085400,30.00,38.83,8.83,1780085699245
73,btc-updown-5m-1780085700,30.00,30.35,0.35,1780085999247
74,btc-updown-5m-1780086000,30.00,22.85,-7.15,1780086299248
25,btc-updown-15m-1780085700,44.71,48.06,3.36,1780086599183
75,btc-updown-5m-1780086300,41.54,70.59,29.06,1780086599245
76,btc-updown-5m-1780086600,30.00,20.54,-9.46,1780086899247
77,btc-updown-5m-1780086900,30.00,27.06,-2.94,1780087199244
26,btc-updown-15m-1780086600,30.00,33.64,3.64,1780087499181
78,btc-updown-5m-1780087200,30.00,34.35,4.35,1780087499244
79,btc-updown-5m-1780087500,44.71,45.93,1.22,1780087799245
80,btc-updown-5m-1780087800,30.00,21.53,-8.47,1780088099245
27,btc-updown-15m-1780087500,41.54,41.54,0.01,1780088399179
81,btc-updown-5m-1780088100,30.00,29.12,-0.88,1780088399245
83,btc-updown-5m-1780088700,30.00,23.06,-6.94,1780088999245
28,btc-updown-15m-1780088400,44.71,33.71,-11.00,1780089299180
84,btc-updown-5m-1780089000,44.71,19.00,-25.71,1780089299246
85,btc-updown-5m-1780089300,30.00,29.12,-0.88,1780089599246
29,btc-updown-15m-1780089300,41.54,24.77,-16.77,1780090199183
87,btc-updown-5m-1780089900,30.00,29.12,-0.88,1780090199247
89,btc-updown-5m-1780090500,30.00,30.57,0.57,1780090799246
30,btc-updown-15m-1780090200,30.00,23.93,-6.07,1780091099181
91,btc-updown-5m-1780091100,41.54,47.81,6.27,1780091399247
31,btc-updown-15m-1780091100,41.54,23.26,-18.28,1780091999183
94,btc-updown-5m-1780092000,30.00,30.43,0.43,1780092299247
96,btc-updown-5m-1780092600,30.00,31.53,1.53,1780092899245
98,btc-updown-5m-1780093200,30.00,22.85,-7.15,1780093499246
100,btc-updown-5m-1780093800,30.00,29.77,-0.23,1780094099248
34,btc-updown-15m-1780093800,30.00,33.94,3.94,1780094699183
102,btc-updown-5m-1780094400,30.00,31.88,1.88,1780094699248
103,btc-updown-5m-1780094700,30.00,32.52,2.52,1780094999250
35,btc-updown-15m-1780094700,41.54,79.35,37.81,1780095599180
105,btc-updown-5m-1780095300,44.71,20.18,-24.53,1780095599247
36,btc-updown-15m-1780095600,30.00,36.06,6.06,1780096499183
38,btc-updown-15m-1780097400,41.54,43.48,1.95,1780098299184
40,btc-updown-15m-1780099200,30.00,34.88,4.88,1780100099185
42,btc-updown-15m-1780101000,41.54,46.11,4.57,1780101899185
43,btc-updown-15m-1780101900,44.71,45.13,0.43,1780102799184
44,btc-updown-15m-1780102800,41.54,36.00,-5.53,1780103699186
47,btc-updown-15m-1780105500,30.00,38.40,8.40,1780106399185
50,btc-updown-15m-1780108200,30.00,32.04,2.04,1780109099224
54,btc-updown-15m-1780111800,30.00,22.85,-7.15,1780112699185
60,btc-updown-15m-1780117200,30.00,35.10,5.10,1780118099188
61,btc-updown-15m-1780118100,30.00,29.00,-1.00,1780118999187
65,btc-updown-15m-1780121700,30.00,22.62,-7.38,1780122599187
66,btc-updown-15m-1780122600,41.54,31.84,-9.70,1780123499187
68,btc-updown-15m-1780124400,30.00,28.82,-1.18,1780125299213
