timestamp,window_id,slug,status,spent,returned,pnl,close_spot,ptb,winner
1780606799479,34,btc-updown-5m-1780606500,CLOSED_TIME,3.0000,5.4235,2.4235,63575.4725,63503.0073,UP
1780607099479,35,btc-updown-5m-1780606800,CLOSED_TIME,4.1130,2.1000,-2.0130,63690.6324,63571.6339,UP
1780607399481,36,btc-updown-5m-1780607100,CLOSED_TIME,3.0000,0.0000,-3.0000,63783.3010,63687.4682,UP
1780607699480,37,btc-updown-5m-1780607400,CLOSED_TIME,4.0088,2.0588,-1.9500,63734.6111,63782.3346,DOWN
1780607999482,38,btc-updown-5m-1780607700,CLOSED_TIME,3.0000,0.0000,-3.0000,63616.6695,63735.5052,DOWN
1780608299484,39,btc-updown-5m-1780608000,CLOSED_TIME,3.0000,5.6616,2.6616,63501.2246,63615.7848,DOWN
1780608599482,40,btc-updown-5m-1780608300,CLOSED_TIME,4.1340,5.6472,1.5132,63438.8710,63500.9709,DOWN
1780608899483,41,btc-updown-5m-1780608600,CLOSED_TIME,3.0000,5.5341,2.5341,63358.1217,63439.4559,DOWN
1780609499484,43,btc-updown-5m-1780609200,CLOSED_TIME,3.0000,5.4682,2.4682,63438.9418,63248.7640,UP
1780609799486,44,btc-updown-5m-1780609500,CLOSED_TIME,3.0000,0.0000,-3.0000,63352.2251,63435.5937,DOWN
1780610099487,45,btc-updown-5m-1780609800,CLOSED_TIME,3.0000,0.9600,-2.0400,63391.0399,63355.3257,UP
1780610399488,46,btc-updown-5m-1780610100,CLOSED_TIME,3.0000,0.0000,-3.0000,63224.5569,63391.4599,DOWN
1780610699490,47,btc-updown-5m-1780610400,CLOSED_TIME,3.0000,5.4471,2.4471,63259.0328,63224.7140,UP
1780610999489,48,btc-updown-5m-1780610700,CLOSED_TIME,4.0912,3.0235,-1.0676,63238.4737,63244.6351,DOWN
1780611299490,49,btc-updown-5m-1780611000,CLOSED_TIME,4.0500,2.8824,-1.1676,63232.4347,63232.6634,DOWN
1780611599493,50,btc-updown-5m-1780611300,CLOSED_TIME,3.0000,5.4941,2.4941,63334.2698,63230.8186,UP
