timestamp,window_id,slug,event,status_before,current_atr,spot_price,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask
1781261099111,33,btc-updown-5m-1781261100,promote_skipped,WAITING_ENTRY,46.3500,63603.2654,,,,0.5500,0.5600,0.4500,0.4600
1781261399110,34,btc-updown-5m-1781261400,promote_skipped,WAITING_ENTRY,37.3929,63635.5309,,,,0.4700,0.4900,0.5300,0.5400
1781261699111,35,btc-updown-5m-1781261700,promote_skipped,WAITING_ENTRY,28.8786,63627.5494,,,,0.4900,0.5000,0.5100,0.5200
1781261999114,36,btc-updown-5m-1781262000,promote_skipped,WAITING_ENTRY,30.7143,63623.6972,,,,0.4900,0.5000,0.5100,0.5200
1781262299118,37,btc-updown-5m-1781262300,promote_skipped,WAITING_ENTRY,40.8071,63724.4997,,,,0.4700,0.4800,0.5300,0.5400
1781262599118,38,btc-updown-5m-1781262600,promote_skipped,WAITING_ENTRY,54.9429,63684.4421,,,,0.5100,0.5200,0.4800,0.5000
1781262899116,39,btc-updown-5m-1781262900,promote_skipped,WAITING_ENTRY,56.1000,63751.8860,,,,0.4700,0.4800,0.5300,0.5400
1781263199118,40,btc-updown-5m-1781263200,promote_skipped,WAITING_ENTRY,42.9429,63694.0657,,,,0.4900,0.5000,0.5100,0.5200
1781263499117,41,btc-updown-5m-1781263500,promote_skipped,WAITING_ENTRY,34.6286,63789.9861,,,,0.4500,0.4600,0.5600,0.5700
1781263799122,42,btc-updown-5m-1781263800,promote_skipped,WAITING_ENTRY,31.4357,63754.8698,,,,0.5100,0.5200,0.4900,0.5000
1781264099124,43,btc-updown-5m-1781264100,promote_skipped,WAITING_ENTRY,36.8286,63672.6500,,,,0.4900,0.5100,0.5100,0.5200
1781264399125,44,btc-updown-5m-1781264400,promote_skipped,WAITING_ENTRY,36.1571,63634.8378,,,,0.5000,0.5100,0.5000,0.5100
