timestamp,window_id,slug,status,spent,returned,pnl,close_spot,ptb,winner
1780686899167,64,btc-updown-15m-1780686000,CLOSED_TIME,4.2000,4.3365,0.1365,59368.8308,59349.3773,UP
1780687799172,65,btc-updown-15m-1780686900,CLOSED_TIME,4.2000,2.8392,-1.3608,59823.9034,59361.2882,UP
1780690499179,68,btc-updown-15m-1780689600,CLOSED_TIME,4.2000,6.2258,2.0258,60794.4326,60277.3213,UP
1780691399182,69,btc-updown-15m-1780690500,CLOSED_TIME,4.2000,5.0578,0.8578,60921.2436,60817.4037,UP
1780693199188,71,btc-updown-15m-1780692300,CLOSED_TIME,4.2000,5.3902,1.1902,61626.7422,61245.8864,UP
1780694099189,72,btc-updown-15m-1780693200,CLOSED_TIME,4.2000,5.2671,1.0671,61829.1578,61598.9716,UP
1780694999193,73,btc-updown-15m-1780694100,CLOSED_TIME,4.2000,0.0000,-4.2000,61554.0974,61834.0392,DOWN
1780695899197,74,btc-updown-15m-1780695000,CLOSED_TIME,4.2000,2.8285,-1.3715,61844.9101,61553.2141,UP
1780701299199,80,btc-updown-15m-1780700400,CLOSED_TIME,4.2000,2.8867,-1.3133,61296.1311,61567.6988,DOWN
1780706699202,86,btc-updown-15m-1780705800,CLOSED_TIME,6.6000,0.0000,-6.6000,61197.7401,61289.8258,DOWN
1780707599200,87,btc-updown-15m-1780706700,CLOSED_TIME,6.6000,8.2628,1.6628,61248.3444,61180.0233,UP
1780708511201,88,btc-updown-15m-1780707600,CLOSED_TIME,6.6000,8.1788,1.5788,61137.0485,61249.1779,DOWN
1780711199201,90,btc-updown-15m-1780710300,CLOSED_TIME,6.6000,8.1278,1.5278,61066.4776,61034.4054,UP
1780712099205,91,btc-updown-15m-1780711200,CLOSED_TIME,6.6000,0.0000,-6.6000,60864.5636,61037.2583,DOWN
1780715699202,95,btc-updown-15m-1780714800,CLOSED_TIME,6.6000,8.2247,1.6247,60852.2624,60927.3725,DOWN
1780721099208,101,btc-updown-15m-1780720200,CLOSED_TIME,4.2000,5.2464,1.0464,59797.0006,59943.9315,DOWN
1780725599210,106,btc-updown-15m-1780724700,CLOSED_TIME,4.2000,5.2039,1.0039,60914.3244,60787.8305,UP
1780726499212,107,btc-updown-15m-1780725600,CLOSED_TIME,4.2000,5.2414,1.0414,61118.3500,60913.3334,UP
1780727399215,108,btc-updown-15m-1780726500,CLOSED_TIME,6.6000,2.5410,-4.0590,60997.8388,61126.2967,DOWN
1780728299217,109,btc-updown-15m-1780727400,CLOSED_TIME,6.6000,8.1651,1.5651,60790.8982,60997.6376,DOWN
1780731899226,113,btc-updown-15m-1780731000,CLOSED_TIME,6.6000,8.2135,1.6135,61008.9923,60855.0782,UP
1780732799231,114,btc-updown-15m-1780731900,CLOSED_TIME,6.6000,0.0000,-6.6000,60970.3193,61013.1150,DOWN
1780733699233,115,btc-updown-15m-1780732800,CLOSED_TIME,10.0530,12.8741,2.8211,61107.4965,60972.8790,UP
1780735499240,117,btc-updown-15m-1780734600,CLOSED_TIME,6.6000,2.9213,-3.6787,61328.1351,61376.3947,DOWN
1780737299247,119,btc-updown-15m-1780736400,CLOSED_TIME,6.6000,4.2849,-2.3151,61199.3925,61223.4560,DOWN
1780742699255,125,btc-updown-15m-1780741800,CLOSED_TIME,6.6000,8.5851,1.9851,60389.2303,60497.0299,DOWN
1780746299237,129,btc-updown-15m-1780745400,CLOSED_TIME,6.6000,8.0206,1.4206,60792.0483,60774.3858,UP
1780747199240,130,btc-updown-15m-1780746300,CLOSED_TIME,6.6000,0.0000,-6.6000,60771.7733,60798.9551,DOWN
1780749899248,133,btc-updown-15m-1780749000,CLOSED_TIME,6.6000,2.5335,-4.0665,60789.1107,60706.5152,UP
1780751699261,135,btc-updown-15m-1780750800,CLOSED_TIME,6.6000,6.5710,-0.0290,60978.8453,60993.3980,DOWN
1780754399260,138,btc-updown-15m-1780753500,CLOSED_TIME,6.6000,8.1893,1.5893,60763.1284,60871.0294,DOWN
1780757999278,142,btc-updown-15m-1780757100,CLOSED_TIME,6.6000,0.0000,-6.6000,60764.6342,60925.8586,DOWN
1780759799281,144,btc-updown-15m-1780758900,CLOSED_TIME,6.6000,8.3104,1.7104,60642.6071,60588.2343,UP
1780761599289,146,btc-updown-15m-1780760700,CLOSED_TIME,6.6000,0.0000,-6.6000,60753.1718,60830.5630,DOWN
1780764299291,149,btc-updown-15m-1780763400,CLOSED_TIME,6.6000,4.6107,-1.9893,60734.9914,60593.7396,UP
1780766099301,151,btc-updown-15m-1780765200,CLOSED_TIME,9.0000,4.0500,-4.9500,60691.9832,60749.2067,DOWN
1780766999308,152,btc-updown-15m-1780766100,CLOSED_TIME,9.0000,11.2108,2.2108,60649.2115,60692.9832,DOWN
1780767899317,153,btc-updown-15m-1780767000,CLOSED_TIME,6.6000,8.7396,2.1396,60678.5205,60653.0861,UP
1780769699317,155,btc-updown-15m-1780768800,CLOSED_TIME,9.0000,11.2181,2.2181,60462.9539,60554.0382,DOWN
1780770599327,156,btc-updown-15m-1780769700,CLOSED_TIME,6.6000,2.5708,-4.0292,60689.0776,60464.6488,UP
1780772399326,158,btc-updown-15m-1780771500,CLOSED_TIME,10.0623,12.3658,2.3035,60608.7807,60580.7351,UP
1780773299331,159,btc-updown-15m-1780772400,CLOSED_TIME,9.0000,11.1529,2.1529,60699.9373,60609.3375,UP
1780774199335,160,btc-updown-15m-1780773300,CLOSED_TIME,6.6000,8.2024,1.6024,60585.0369,60699.7874,DOWN
1780775099338,161,btc-updown-15m-1780774200,CLOSED_TIME,9.0000,6.1017,-2.8983,60594.2012,60585.0797,UP
1780775999339,162,btc-updown-15m-1780775100,CLOSED_TIME,10.0092,13.0312,3.0220,60574.1880,60594.9728,DOWN
1780776899345,163,btc-updown-15m-1780776000,CLOSED_TIME,9.0000,9.0000,0.0000,60545.9249,60571.4416,DOWN
1780777799364,164,btc-updown-15m-1780776900,CLOSED_TIME,9.0000,0.0000,-9.0000,60568.6809,60546.7830,UP
1780778699374,165,btc-updown-15m-1780777800,CLOSED_TIME,10.0452,11.3883,1.3431,60706.6950,60568.7190,UP
1780780499384,167,btc-updown-15m-1780779600,CLOSED_TIME,10.0452,11.0834,1.0383,60803.8429,60682.7647,UP
1780781399388,168,btc-updown-15m-1780780500,CLOSED_TIME,9.0000,11.3918,2.3918,60865.3147,60826.7058,UP
1780782299390,169,btc-updown-15m-1780781400,CLOSED_TIME,10.0800,13.0291,2.9491,60794.2364,60864.6446,DOWN
1780783199395,170,btc-updown-15m-1780782300,CLOSED_TIME,11.0903,12.4635,1.3732,60725.7541,60794.0061,DOWN
1780784099398,171,btc-updown-15m-1780783200,CLOSED_TIME,9.0000,12.3387,3.3387,60601.2434,60725.2792,DOWN
1780788599407,176,btc-updown-15m-1780787700,CLOSED_TIME,9.0000,11.2867,2.2867,60685.8472,60689.4092,DOWN
1780790399406,178,btc-updown-15m-1780789500,CLOSED_TIME,10.0623,6.8872,-3.1751,60856.6054,60828.7235,UP
1780791299411,179,btc-updown-15m-1780790400,CLOSED_TIME,10.0452,4.9181,-5.1271,60790.2538,60856.6040,DOWN
1780792199406,180,btc-updown-15m-1780791300,CLOSED_TIME,10.0190,7.3669,-2.6521,60814.2409,60784.0158,UP
1780794899408,183,btc-updown-15m-1780794000,CLOSED_TIME,9.0000,12.3387,3.3387,61294.8349,60755.5670,UP
1780798499416,187,btc-updown-15m-1780797600,CLOSED_TIME,6.6000,4.3871,-2.2129,61390.4662,61450.6484,DOWN
1780801199417,190,btc-updown-15m-1780800300,CLOSED_TIME,6.6000,8.2473,1.6473,61475.1932,61287.3399,UP
1780802099416,191,btc-updown-15m-1780801200,CLOSED_TIME,10.0452,11.9410,1.8958,61500.7685,61475.0856,UP
1780807499422,197,btc-updown-15m-1780806600,CLOSED_TIME,9.0000,11.5218,2.5218,61710.6110,61528.9946,UP
1780808399429,198,btc-updown-15m-1780807500,CLOSED_TIME,10.0452,1.2019,-8.8432,61863.1440,61710.6296,UP
1780810199431,200,btc-updown-15m-1780809300,CLOSED_TIME,6.6000,4.5734,-2.0266,61712.3520,61855.8109,DOWN
1780811099433,201,btc-updown-15m-1780810200,CLOSED_TIME,6.6000,2.6081,-3.9919,61842.0854,61711.5439,UP
1780814699434,205,btc-updown-15m-1780813800,CLOSED_TIME,6.6000,8.1278,1.5278,62172.8120,61942.8068,UP
1780816499442,207,btc-updown-15m-1780815600,CLOSED_TIME,6.6000,2.5025,-4.0975,62106.3105,62075.7760,UP
1780818299445,209,btc-updown-15m-1780817400,CLOSED_TIME,9.0000,3.2034,-5.7966,62199.9624,62202.6694,DOWN
1780819199449,210,btc-updown-15m-1780818300,CLOSED_TIME,9.0000,11.7189,2.7189,62374.5250,62202.8300,UP
1780820999460,212,btc-updown-15m-1780820100,CLOSED_TIME,9.0000,0.0000,-9.0000,62509.3535,62357.7532,UP
1780822799463,214,btc-updown-15m-1780821900,CLOSED_TIME,6.6000,8.4040,1.8040,62828.1377,62532.0323,UP
1780826399477,218,btc-updown-15m-1780825500,CLOSED_TIME,6.6000,8.7544,2.1544,62507.3922,62516.1181,DOWN
1780828199486,220,btc-updown-15m-1780827300,CLOSED_TIME,11.0642,13.3900,2.3258,62489.7711,62379.1462,UP
1780829099488,221,btc-updown-15m-1780828200,CLOSED_TIME,10.0190,2.1687,-7.8503,62339.3988,62486.5354,DOWN
1780829999489,222,btc-updown-15m-1780829100,CLOSED_TIME,6.6000,5.9932,-0.6068,62352.0990,62339.4054,UP
1780832699501,225,btc-updown-15m-1780831800,CLOSED_TIME,9.0000,12.1097,3.1097,62653.9763,62502.9901,UP
1780833599506,226,btc-updown-15m-1780832700,CLOSED_TIME,9.0000,6.3434,-2.6566,62599.2061,62657.2261,DOWN
1780838099524,231,btc-updown-15m-1780837200,CLOSED_TIME,6.6000,8.2665,1.6665,61743.2253,61879.3761,DOWN
1780839899528,233,btc-updown-15m-1780839000,CLOSED_TIME,6.6000,8.6022,2.0022,61715.5500,61823.1377,DOWN
1780842599542,236,btc-updown-15m-1780841700,CLOSED_TIME,9.0000,0.0000,-9.0000,62055.8989,61768.0575,UP
1780846199548,240,btc-updown-15m-1780845300,CLOSED_TIME,6.6000,0.6600,-5.9400,61921.9760,61811.0164,UP
1780850699553,245,btc-updown-15m-1780849800,CLOSED_TIME,6.6000,8.1893,1.5893,62138.9567,62153.0668,DOWN
