timestamp,window_id,slug,pnl,entry_side,real_winner_side,h_market_win,h_salvaged,h_salvage_win,entry_price,exit_price,cum_market_wins,cum_market_losses,cum_salvage_escapes,cum_salvage_wins
1781562599245,36,btc-updown-15m-1781561700,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,10,18,15,0
1781563499250,37,btc-updown-15m-1781562600,40.5000,UP,UP,true,false,false,0.40,1.00,11,18,15,0
1781564399253,38,btc-updown-15m-1781563500,-22.1538,UP,DOWN,false,true,false,0.39,0.07,11,19,16,0
1781567149096,40,btc-updown-15m-1781565300,-27.0000,UP,DOWN,false,false,false,0.40,,11,20,16,0
1781568011551,42,btc-updown-15m-1781567100,-23.6250,DOWN,UP,false,true,false,0.40,0.05,11,21,17,0
1781573473758,48,btc-updown-15m-1781572500,-27.0000,UP,DOWN,false,false,false,0.40,,11,22,17,0
1781574310247,49,btc-updown-15m-1781573400,-27.0000,DOWN,UP,false,false,false,0.40,,11,23,17,0
1781577205948,52,btc-updown-15m-1781576100,48.0000,DOWN,DOWN,true,false,false,0.36,1.00,12,23,17,0
1781580022454,55,btc-updown-15m-1781578800,-27.0000,DOWN,UP,false,false,false,0.38,,12,24,17,0
1781588274551,64,btc-updown-15m-1781586900,48.0000,UP,UP,true,false,false,0.36,1.00,13,24,17,0
1781589761506,66,btc-updown-15m-1781588700,44.0526,UP,UP,true,false,false,0.38,1.00,14,24,17,0
1781591710447,68,btc-updown-15m-1781590500,-27.0000,DOWN,UP,false,false,false,0.40,,14,25,17,0
1781598256365,75,btc-updown-15m-1781596800,-27.0000,DOWN,UP,false,false,false,0.40,,14,26,17,0
1781600562837,78,btc-updown-15m-1781599500,48.0000,UP,UP,true,false,false,0.36,1.00,15,26,17,0
1781601829299,79,btc-updown-15m-1781600400,-27.0000,UP,DOWN,false,false,false,0.36,,15,27,17,0
1781616599132,96,btc-updown-15m-1781615700,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,16,27,17,0
1781618399142,98,btc-updown-15m-1781617500,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,17,27,17,0
1781621999160,102,btc-updown-15m-1781621100,-10.8000,DOWN,DOWN,true,true,false,0.40,0.24,18,27,18,0
1781622899160,103,btc-updown-15m-1781622000,-27.0000,DOWN,UP,false,false,false,0.40,,18,28,18,0
1781623799166,104,btc-updown-15m-1781622900,-21.4615,UP,DOWN,false,true,false,0.39,0.08,18,29,19,0
1781624699169,105,btc-updown-15m-1781623800,-16.0541,DOWN,UP,false,true,false,0.37,0.15,18,30,20,0
1781625599177,106,btc-updown-15m-1781624700,42.2308,UP,UP,true,false,false,0.39,1.00,19,30,20,0
1781626499216,107,btc-updown-15m-1781625600,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,20,30,20,0
1781627399181,108,btc-updown-15m-1781626500,-20.2500,DOWN,UP,false,true,false,0.40,0.10,20,31,21,0
1781628299189,109,btc-updown-15m-1781627400,44.0526,UP,UP,true,false,false,0.38,1.00,21,31,21,0
1781629199190,110,btc-updown-15m-1781628300,-23.5385,UP,DOWN,false,true,false,0.39,0.05,21,32,22,0
1781630099195,111,btc-updown-15m-1781629200,-20.2500,DOWN,UP,false,true,false,0.40,0.10,21,33,23,0
