timestamp,window_id,slug,status,spent,returned,pnl,close_spot,ptb,winner,strategy,utc_hour,time_pct_at_close,final_gap_z,final_atr,mid_cross_count,significant_mid_cross_count,entry_side,entry_reason,would_redeem_hold,h_market_win,h_salvaged,h_salvage_win
1781850299762,54,eth-updown-5m-1781850000,CLOSED_TIME,64.0000,64.6465,0.6465,1699.1686,1697.6861,UP,j_endgame,6,100.00,8.8969,1.2907,6,2,UP,j_final_seal_taker_up_fill_0.99_ask_0.99_gap_z_+1.38_phase_accumulate_pnl_proj_+0.00_tape_$119/4_xc6,false,,,
1781850899765,56,eth-updown-5m-1781850600,CLOSED_TIME,70.0000,71.4286,1.4286,1698.6652,1699.5383,DOWN,j_endgame,6,100.00,-5.4855,1.2329,3,2,DOWN,j_final_seal_taker_down_fill_0.98_ask_0.98_gap_z_-5.49_phase_final_seal_pnl_proj_+0.00_tape_$0/0_xc3,false,,,
1781851499768,58,eth-updown-5m-1781851200,CLOSED_TIME,48.7599,50.0165,1.2566,1698.9041,1695.7754,UP,j_endgame,6,100.00,19.7490,1.2271,0,0,UP,j_final_seal_taker_up_fill_0.97_ask_0.97_gap_z_+1.26_phase_accumulate_pnl_proj_+0.00_tape_$44/8_xc0,false,,,
1781852099771,60,eth-updown-5m-1781851800,CLOSED_TIME,64.7455,65.4752,0.7297,1698.8308,1696.3218,UP,j_endgame,6,100.00,15.4773,1.2557,4,2,UP,j_final_seal_taker_up_fill_0.99_ask_0.99_gap_z_+1.36_phase_accumulate_pnl_proj_+0.00_tape_$177/24_xc4,false,,,
1781852699773,62,eth-updown-5m-1781852400,CLOSED_TIME,67.7201,68.4042,0.6840,1696.7888,1698.7310,DOWN,j_endgame,7,100.00,-13.0333,1.1543,1,1,DOWN,j_final_seal_taker_down_fill_0.99_ask_0.99_gap_z_-1.54_phase_accumulate_pnl_proj_+0.00_tape_$184/18_xc1,false,,,
1781853299777,64,eth-updown-5m-1781853000,CLOSED_TIME,69.5789,71.6757,2.0968,1694.5296,1696.6198,DOWN,j_endgame,7,100.00,-15.9744,1.0136,0,0,DOWN,j_final_seal_taker_down_fill_0.95_ask_0.95_gap_z_-1.27_phase_accumulate_pnl_proj_+0.00_tape_$4/1_xc0,false,,,
1781853899779,66,eth-updown-5m-1781853600,CLOSED_TIME,47.7256,48.6585,0.9329,1694.7324,1692.6901,UP,j_endgame,7,100.00,12.8172,1.2343,5,1,UP,j_final_seal_taker_up_fill_0.98_ask_0.98_gap_z_+1.41_phase_accumulate_pnl_proj_+0.00_tape_$13/4_xc5,false,,,
1781854499782,68,eth-updown-5m-1781854200,CLOSED_TIME,64.0000,64.6465,0.6465,1692.8258,1694.6856,DOWN,j_endgame,7,100.00,-9.2642,1.5550,7,2,DOWN,j_final_seal_taker_down_fill_0.99_ask_0.99_gap_z_-1.36_phase_rescue_pnl_proj_+0.00_tape_$258/13_xc7,false,,,
1781854799786,69,eth-updown-5m-1781854500,CLOSED_TIME,51.2035,52.2485,1.0450,1689.4909,1692.8401,DOWN,j_endgame,7,100.00,-14.4759,1.7921,7,1,DOWN,j_final_seal_taker_down_fill_0.98_ask_0.99_gap_z_-1.37_phase_accumulate_pnl_proj_+0.00_tape_$193/19_xc7,false,,,
1781855699790,72,eth-updown-5m-1781855400,CLOSED_TIME,35.0000,36.0825,1.0825,1692.5068,1692.0955,UP,j_endgame,7,100.00,2.2156,1.4379,17,4,UP,j_final_seal_taker_up_fill_0.97_ask_0.98_gap_z_+1.24_phase_accumulate_pnl_proj_+0.00_tape_$79/21_xc1,false,,,
